# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 47K of event 'task-clock:ppp'
# Event count (approx.): 23553270750
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                         
# ........  ...............................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     0.20%  [.] _ZN4core3ptr40drop_in_place$LT$a2a..types..Message$GT$17h819dcbd0c6491f65E.llvm.11966224601570237724
     0.20%  [.] __GI___libc_write
     0.20%  [.] _mid_memalign.isra.0
     0.20%  [.] realloc
     0.20%  [.] <hashbrown::raw::RawTable<T,A> as core::ops::drop::Drop>::drop
     0.20%  [.] tokio::runtime::task::state::State::transition_to_idle
     0.19%  [.] tokio::runtime::scheduler::multi_thread::queue::Steal<T>::steal_into
     0.19%  [.] a2a_server::handler::ActiveExecution::publish::_$u7b$$u7b$closure$u7d$$u7d$::ha3a72637eed590cb
     0.19%  [.] tokio::runtime::task::harness::Harness<T,S>::poll
     0.18%  [.] <hyper::proto::h1::role::Server as hyper::proto::h1::Http1Transaction>::encode
     0.18%  [.] tokio::sync::mpsc::bounded::Sender$LT$T$GT$::send::_$u7b$$u7b$closure$u7d$$u7d$::h7e1c6e5ac2255242
     0.18%  [.] tokio::runtime::context::with_scheduler
     0.18%  [.] tokio::sync::rwlock::RwLock$LT$T$GT$::read::_$u7b$$u7b$closure$u7d$$u7d$::hcb087741562e8a0a
     0.18%  [.] _ZN5alloc11collections5btree3map25IntoIter$LT$K$C$V$C$A$GT$10dying_next17h8cb4eb41edbce881E.llvm.2136855078717401110
     0.18%  [k] handle_softirqs
     0.17%  [.] <hyper::proto::h1::role::Server as hyper::proto::h1::Http1Transaction>::parse
     0.17%  [.] __GI___pthread_disable_asynccancel
     0.17%  [.] <alloc::vec::Vec<T,A> as core::clone::Clone>::clone
     0.17%  [.] tokio::runtime::task::state::State::transition_to_running
     0.17%  [.] a2a_server::middleware::extract_service_params
     0.17%  [k] do_user_addr_fault
     0.17%  [.] tokio::util::sharded_list::ShardedList<L>::remove
     0.16%  [.] <hyper_util::server::conn::auto::UpgradeableConnection<I,S,E> as core::future::future::Future>::poll
     0.16%  [k] _copy_to_iter
     0.16%  [.] <axum::util::MapIntoResponseFuture<F> as core::future::future::Future>::poll
     0.16%  [.] _ZN5tokio4sync5watch15Sender$LT$T$GT$6closed28_$u7b$$u7b$closure$u7d$$u7d$17ha76218898697fd3aE.llvm.10564575028977771052
     0.16%  [.] bytes::bytes_mut::shared_v_clone
     0.16%  [k] __rcu_read_unlock
     0.16%  [.] a2a_server::handler::save_task::_$u7b$$u7b$closure$u7d$$u7d$::h42f484c5f996544b
     0.16%  [.] clock_gettime@@GLIBC_2.17
     0.15%  [.] __lll_lock_wake_private
     0.15%  [.] core::ptr::drop_in_place<tokio::loom::std::parking_lot::Mutex<tokio::sync::broadcast::Slot<a2a_server::handler::ExecutionEvent>>>
     0.15%  [.] <serde_path_to_error::de::Deserializer<D> as serde_core::de::Deserializer>::deserialize_any
     0.15%  [.] _ZN5tokio7runtime4task4list19OwnedTasks$LT$S$GT$10bind_inner17h25481b54c6e3e0bdE.llvm.11270053708778086066
     0.15%  [.] tokio::sync::rwlock::RwLock$LT$T$GT$::write::_$u7b$$u7b$closure$u7d$$u7d$::hc225a8fca9739097
     0.15%  [.] __ieee754_pow_fma
     0.14%  [.] _ZN5tokio4sync4mpsc4list11Rx$LT$T$GT$3pop17hc687ce1b7a3629eaE.llvm.10564575028977771052
     0.14%  [.] alloc::collections::btree::map::BTreeMap<K,V,A>::insert
     0.14%  [.] tokio::sync::broadcast::channel
     0.14%  [.] <a2a::types::Task as core::clone::Clone>::clone
     0.14%  [k] skb_defer_free_flush
     0.14%  [.] core::hash::BuildHasher::hash_one
     0.13%  [k] _raw_spin_lock
     0.13%  [k] fdget
     0.13%  [k] fdget_pos
     0.12%  [.] <tokio::runtime::task::core::TaskIdGuard as core::ops::drop::Drop>::drop
     0.12%  [.] _$LT$a2a_server..task_store..inmemory..InMemoryTaskStore$u20$as$u20$a2a_server..task_store..store..TaskStore$GT$::create::_$u7b$$u7b$closure$u7d$$u7d$::h7238415c1bc1b1f5
     0.12%  [k] __schedule
     0.12%  [k] skb_release_data
     0.12%  [k] tcp_rcv_established
     0.12%  [.] tokio::runtime::task::waker::wake_by_val
     0.12%  [.] axum::routing::path_router::PathRouter<S,_>::call_with_state
     0.12%  [k] futex_wait_setup
     0.12%  [k] tcp_sendmsg_locked
     0.12%  [.] <axum::util::MapIntoResponseFuture<F> as core::future::future::Future>::poll
     0.12%  [.] httparse::parse_headers_iter_uninit
     0.11%  [.] <a2a::types::Message as core::clone::Clone>::clone
     0.11%  [.] <a2a::types::Task as core::clone::Clone>::clone
     0.11%  [.] tokio::runtime::task::harness::Harness<T,S>::poll
     0.11%  [k] x64_sys_call
     0.10%  [.] <a2a_server::push::store::InMemoryPushConfigStore as a2a_server::push::store::PushConfigStore>::list
     0.10%  [.] <serde_path_to_error::de::TrackedSeed<X> as serde_core::de::DeserializeSeed>::deserialize
     0.10%  [k] schedule
     0.10%  [.] <hyper_util::service::oneshot::Oneshot<S,Req> as core::future::future::Future>::poll
     0.10%  [.] _ZN96_$LT$alloc..collections..btree..map..BTreeMap$LT$K$C$V$C$A$GT$$u20$as$u20$core..clone..Clone$GT$5clone13clone_subtree17hf8d317d3265e0308E.llvm.2136855078717401110
     0.10%  [.] __GI___writev
     0.10%  [k] __skb_datagram_iter
     0.10%  [.] http::header::name::StandardHeader::from_bytes
     0.10%  [.] tokio::runtime::scheduler::multi_thread::worker::Context::park_internal
     0.10%  [.] <serde_json::read::SliceRead as serde_json::read::Read>::parse_str
     0.10%  [.] hyper::proto::h1::io::Buffered<T,B>::poll_flush
     0.10%  [k] selinux_file_permission
     0.10%  [.] <serde_json::value::de::<impl serde_core::de::Deserialize for serde_json::value::Value>::deserialize::ValueVisitor as serde_core::de::Visitor>::visit_map
     0.10%  [.] tokio::runtime::task::core::Core<T,S>::poll
     0.10%  [.] <hyper::server::conn::http1::UpgradeableConnection<I,S> as core::future::future::Future>::poll
     0.09%  [.] <a2a::event::StreamResponse as core::clone::Clone>::clone
     0.09%  [k] fput
     0.09%  [.] tokio::runtime::task::waker::clone_waker
     0.09%  [k] __inet_lookup_established
     0.09%  [k] ep_poll
     0.09%  [.] epoll_wait
     0.09%  [.] __GI___getrandom
     0.09%  [.] <tokio::task::coop::RestoreOnPending as core::ops::drop::Drop>::drop
     0.09%  [.] serde_json::value::to_value
     0.09%  [.] serde_path_to_error::de::<impl serde_core::de::Visitor for serde_path_to_error::wrap::Wrap<X>>::visit_map
     0.08%  [.] <T as tower::util::boxed_clone_sync::CloneService<R>>::clone_box
     0.08%  [.] _ZN5prost8encoding6varint13encode_varint17hf9bbfd5e1c658002E.llvm.2136855078717401110
     0.08%  [k] __raw_callee_save___pv_queued_spin_unlock
     0.08%  [.] a2a_server::handler::DefaultRequestHandler::load_task::_$u7b$$u7b$closure$u7d$$u7d$::hb04412e51bba79b7
     0.08%  [k] futex_wake
     0.08%  [k] read_tsc
     0.08%  [.] tokio::sync::rwlock::RwLock$LT$T$GT$::read::_$u7b$$u7b$closure$u7d$$u7d$::h9baff140a6f19719
     0.08%  [.] core::ptr::drop_in_place<a2a::types::Task>
     0.08%  [k] tcp_clean_rtx_queue
     0.08%  [.] __libc_recv
     0.08%  [k] check_heap_object
     0.08%  [.] http::header::name::HeaderName::from_bytes
     0.08%  [.] http::uri::path::PathAndQuery::from_shared
     0.08%  [.] _ZN4core3ptr1207drop_in_place$LT$tower..util..map_future..MapFuture$LT$axum..util..MapIntoResponse$LT$axum..handler..service..HandlerService$LT$a2a_server..rest..handle_get_extended_agent_card$LT$a2a_server..handler..DefaultRequestHandler$GT$$C$$LP$axum_core..extract..private..ViaParts$C$axum..extract..state..State$LT$a2a_server..rest..RestState$LT$a2a_server..handler..DefaultRequestHandler$GT$$GT$$C$http..header..map..HeaderMap$RP$$C$a2a_server..rest..RestState$LT$a2a_server..handler..DefaultRequestHandler$GT$$GT$$GT$$C$tower..util..boxed_clone_sync..BoxCloneSyncService$LT$http..request..Request$LT$axum_core..body..Body$GT$$C$http..response..Response$LT$axum_core..body..Body$GT$$C$core..convert..Infallible$GT$..new$LT$axum..util..MapIntoResponse$LT$axum..handler..service..HandlerService$LT$a2a_server..rest..handle_get_extended_agent_card$LT$a2a_server..handler..DefaultRequestHandler$GT$$C$$LP$axum_core..extract..private..ViaParts$C$axum..extract..state..State$LT$a2a_server..rest..RestState$LT$a2a_server..handler..DefaultRequestHandler$GT$$GT$$C$http..header..map..HeaderMap$RP$$C$a2a_server..rest..RestState$LT$a2a_server..handler..DefaultRequestHandler$GT$$GT$$GT$$GT$..$u7b$$u7b$closure$u7d$$u7d$$GT$$GT$17h213e3fc1ee0d6edfE
     0.08%  [.] _ZN4core3ptr41drop_in_place$LT$a2a..types..Artifact$GT$17h5d8d289ba4d1f32bE.llvm.11966224601570237724
     0.08%  [.] tokio::runtime::io::registration::Registration::poll_ready
     0.08%  [.] tokio::sync::mpsc::chan::Rx<T,S>::recv
     0.08%  [.] _RNvCs1Y7DaGC1cwg_7___rustc13___rdl_dealloc
     0.08%  [.] http::header::map::HeaderMap<T>::try_append2
     0.08%  [k] tcp_recvmsg_locked
