# Generated by scripts/check_panic_paths.py --update. Do not edit by hand.
# One line per file: unwrap expect panic todo  path
1 1 0 0  crates/a2a-protocol-client/build.rs
0 3 0 0  crates/a2a-protocol-client/src/auth.rs
0 2 0 0  crates/a2a-protocol-client/src/retry.rs
0 2 0 0  crates/a2a-protocol-client/src/tls.rs
1 1 0 0  crates/a2a-protocol-server/build.rs
0 2 0 0  crates/a2a-protocol-server/src/auth/jwt.rs
0 1 0 0  crates/a2a-protocol-server/src/push/sender.rs
1 1 0 0  crates/a2a-protocol-types/build.rs
